,Lines Found,Execution Time (ps),Execution Cycles,Instructions,Memory Accesses,Overall Miss Rate,Read Miss Rate,Memory CPI,Total CPI,Average Memory Access Time (cycles),Dirty Evictions,Load Misses,Store Misses,Load Hits,Store Hits,Parameters
0,38633967.0,1585716992.0,105714465.0,38633967.0,38633967.0,0.06,0.06,1.74,2.74,1.74,422679.0,1985937.0,221901.0,31039663.0,5386466.0,"[16.0, 1.0, 16.0, 30.0]"
1,38633967.0,1059984512.0,67300605.0,38633967.0,38633967.0,0.02,0.03,0.74,1.74,0.74,90324.0,903342.0,46191.0,32122258.0,5562176.0,"[16.0, 2.0, 16.0, 30.0]"
2,38633967.0,946759616.0,58713777.0,38633967.0,38633967.0,0.02,0.02,0.52,1.52,0.52,51030.0,639612.0,26313.0,32385988.0,5582054.0,"[16.0, 4.0, 16.0, 30.0]"
3,38633967.0,868866880.0,52658601.0,38633967.0,38633967.0,0.01,0.01,0.36,1.36,0.36,38592.0,446377.0,18538.0,32579223.0,5589829.0,"[16.0, 8.0, 16.0, 30.0]"
4,38633967.0,1141384576.0,72468863.0,38633967.0,38633967.0,0.03,0.03,0.88,1.88,0.88,129133.0,1053151.0,66070.0,31972449.0,5542297.0,"[32.0, 1.0, 16.0, 30.0]"
5,38633967.0,852241024.0,51650975.0,38633967.0,38633967.0,0.01,0.01,0.34,1.34,0.34,39154.0,412363.0,18927.0,32613237.0,5589440.0,"[32.0, 2.0, 16.0, 30.0]"
6,38633967.0,758918784.0,44972963.0,38633967.0,38633967.0,0.01,0.01,0.16,1.16,0.16,21313.0,202520.0,7359.0,32823080.0,5601008.0,"[32.0, 4.0, 16.0, 30.0]"
7,38633967.0,747814272.0,43351551.0,38633967.0,38633967.0,0.0,0.0,0.12,1.12,0.12,17037.0,151051.0,5066.0,32874549.0,5603301.0,"[32.0, 8.0, 16.0, 30.0]"
8,38633967.0,949722240.0,57558925.0,38633967.0,38633967.0,0.02,0.02,0.49,1.49,0.49,37859.0,607668.0,20640.0,32417932.0,5587727.0,"[64.0, 1.0, 16.0, 30.0]"
9,38633967.0,763404928.0,44255361.0,38633967.0,38633967.0,0.0,0.01,0.15,1.15,0.15,16752.0,181503.0,4760.0,32844097.0,5603607.0,"[64.0, 2.0, 16.0, 30.0]"
10,38633967.0,730666752.0,41456265.0,38633967.0,38633967.0,0.0,0.0,0.07,1.07,0.07,12444.0,90912.0,2335.0,32934688.0,5606032.0,"[64.0, 4.0, 16.0, 30.0]"
11,38633967.0,730084416.0,40560245.0,38633967.0,38633967.0,0.0,0.0,0.05,1.05,0.05,11704.0,61593.0,1836.0,32964007.0,5606531.0,"[64.0, 8.0, 16.0, 30.0]"
12,38633967.0,782079168.0,45337923.0,38633967.0,38633967.0,0.01,0.01,0.17,1.17,0.17,18153.0,216407.0,5848.0,32809193.0,5602519.0,"[128.0, 1.0, 16.0, 30.0]"
13,38633967.0,739954752.0,41108601.0,38633967.0,38633967.0,0.0,0.0,0.06,1.06,0.06,10272.0,79765.0,2038.0,32945835.0,5606329.0,"[128.0, 2.0, 16.0, 30.0]"
14,38633967.0,734036288.0,39947553.0,38633967.0,38633967.0,0.0,0.0,0.03,1.03,0.03,9018.0,42024.0,1161.0,32983576.0,5607206.0,"[128.0, 4.0, 16.0, 30.0]"
15,38633967.0,745846336.0,39778473.0,38633967.0,38633967.0,0.0,0.0,0.03,1.03,0.03,8838.0,36485.0,1076.0,32989115.0,5607291.0,"[128.0, 8.0, 16.0, 30.0]"
16,38633967.0,2037066880.0,127316681.0,38633967.0,38633967.0,0.07,0.08,2.3,3.3,2.3,479517.0,2478981.0,262384.0,30546619.0,5345983.0,"[16.0, 1.0, 32.0, 32.0]"
